nataid,natarms,natchld,natcity,natcrime,natdrug,nateduc,natenrgy,natenvir,natfare,natheal,natmass,natpark,natrace,natroad,natsci,natsoc,eqwlth,health,helpsick,helppoor,year
Too much,Too little,Too little,Too little,Too little,About right,About right,About right,Too little,About right,Too little,Too little,About right,Too little,Too little,About right,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,About right,About right,Too little,3,NA,Somewhat,Both,2018
NA,NA,NA,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,NA,2,Excellent,Both,Both,2018
Too much,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too little,About right,About right,Too little,Too little,About right,Too little,5,Excellent,Both,Both,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,Too little,NA,About right,Too much,Too little,7,NA,Yes,Yes,2018
About right,Too much,Too little,About right,About right,About right,About right,About right,Too little,About right,Too little,Too little,About right,Too little,Too little,About right,Too little,3,NA,Yes,Yes,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,Too little,About right,2,NA,Yes,Somewhat,2018
Too much,Too little,About right,About right,Too little,Too little,Too little,Too little,Too little,Too much,Too little,About right,About right,About right,Too little,Too little,About right,7,NA,Both,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,NA,Good,NA,NA,2018
About right,About right,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too much,Too little,About right,About right,Too little,Too little,Too little,Too little,4,Excellent,Yes,Both,2018
About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,Too little,Too little,About right,Too little,NA,Good,NA,NA,2018
Too much,About right,About right,Too little,Too little,Too little,Too much,About right,Too little,Too much,About right,Too little,Too little,About right,Too little,About right,Too little,5,NA,Both,Both,2018
NA,About right,Too much,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too little,About right,NA,Too much,About right,NA,1,Good,Somewhat,Both,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,Too little,About right,About right,3,NA,Somewhat,Somewhat,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,6,Fair,Somewhat,Both,2018
About right,About right,Too little,About right,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,2,NA,Somewhat,NA,2018
About right,About right,NA,Too little,Too little,NA,Too little,NA,Too little,NA,Too little,Too little,NA,Too little,Too little,NA,NA,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,About right,1,Fair,Yes,Both,2018
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,2,NA,Yes,Yes,2018
Too little,Too much,About right,Too little,Too little,About right,About right,About right,Too little,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,NA,Fair,NA,NA,2018
About right,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,NA,Too little,1,NA,Yes,Yes,2018
Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,NA,Excellent,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,1,NA,NA,No,2018
Too little,Too much,Too little,Too little,Too much,Too much,Too little,Too little,Too little,Too little,Too much,About right,Too little,Too little,Too little,Too little,Too little,NA,Excellent,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,Too little,NA,Fair,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,About right,Too little,Too little,1,Good,Yes,Yes,2018
Too little,Too much,Too little,About right,Too much,About right,Too little,Too little,Too little,Too much,Too much,About right,About right,Too little,About right,Too little,Too little,NA,Excellent,NA,NA,2018
Too little,Too much,Too little,Too much,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,NA,Somewhat,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,7,NA,Both,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,3,NA,Yes,Yes,2018
NA,NA,Too little,Too little,Too little,About right,About right,Too little,Too little,NA,Too little,Too little,About right,About right,About right,Too little,Too little,NA,Good,NA,NA,2018
About right,Too much,Too little,About right,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,Too little,About right,About right,2,Good,Yes,Somewhat,2018
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too much,Too little,About right,4,Fair,Somewhat,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,Too little,NA,About right,Too little,Too little,NA,Excellent,NA,NA,2018
About right,About right,Too little,About right,About right,About right,Too little,Too little,Too little,About right,About right,About right,About right,About right,About right,About right,About right,3,Excellent,Somewhat,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too much,About right,Too little,3,NA,NA,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too little,NA,About right,Too much,Too little,4,Good,Both,Somewhat,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,Too little,About right,Too little,1,NA,Somewhat,Both,2018
About right,About right,Too little,Too little,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,NA,Good,NA,NA,2018
NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,NA,Too little,Too little,About right,Too little,Too little,Too little,Too little,NA,Good,NA,NA,2018
Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Too little,About right,Too little,1,NA,Yes,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,About right,Too little,NA,Excellent,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,1,Good,Yes,No,2018
Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,Too little,About right,Too little,2,NA,Both,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,7,NA,Yes,Both,2018
About right,About right,About right,About right,About right,Too little,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,About right,3,Good,Somewhat,Somewhat,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,About right,Too little,2,NA,Yes,Yes,2018
Too little,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too much,1,NA,Yes,Somewhat,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too little,NA,Too little,Too little,Too little,4,NA,Somewhat,Both,2018
About right,Too much,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,NA,Too little,About right,Too little,NA,Excellent,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,About right,About right,About right,6,NA,Both,No,2018
Too little,About right,Too little,Too little,Too little,Too little,Too little,NA,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,NA,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,About right,About right,Too little,NA,Fair,NA,NA,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,Too little,NA,Too little,Too little,About right,5,Fair,Yes,Somewhat,2018
Too much,Too much,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too little,3,Good,Yes,Yes,2018
Too much,About right,Too little,About right,About right,Too little,Too little,About right,Too little,About right,Too little,About right,About right,Too little,Too little,About right,About right,NA,Good,NA,NA,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,Too little,Too little,NA,About right,About right,About right,3,Excellent,Yes,Yes,2018
NA,About right,About right,About right,About right,Too little,Too little,About right,About right,NA,About right,About right,About right,About right,About right,Too much,Too little,NA,Good,Yes,Yes,2018
NA,NA,Too much,NA,NA,NA,NA,Too much,NA,NA,NA,Too much,Too much,NA,Too much,Too much,NA,NA,Fair,NA,NA,2018
NA,About right,About right,NA,NA,NA,Too much,NA,About right,About right,NA,Too little,NA,NA,About right,NA,NA,NA,Poor,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,2,Excellent,Yes,Somewhat,2018
Too much,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,About right,Too much,Too little,About right,Too little,7,Fair,NA,No,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,1,NA,Yes,Yes,2018
Too much,About right,About right,Too little,Too little,Too little,Too little,About right,About right,Too much,Too little,Too little,About right,Too much,Too little,About right,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too little,NA,Too little,Too little,About right,4,NA,Both,NA,2018
